partID,trial,dft,class,gtsize,partsize,accuracy
p10,2,0.0653,borderline,BIG,BIG,1
p10,3,0.1051,borderline,BIG,BIG,1
p10,4,0.0648,borderline,BIG,BIG,1
p10,5,0.0339,borderline,BIG,BIG,1
p10,6,0.0596,borderline,SMALL,SMALL,1
p10,7,0.1096,borderline,SMALL,SMALL,1
p10,8,0.0314,borderline,SMALL,SMALL,1
p10,9,0.1433,borderline,SMALL,SMALL,1
p10,10,0.1655,borderline,SMALL,SMALL,1
p10,11,0.2329,clearcut,BIG,BIG,1
p10,12,0.2341,clearcut,BIG,BIG,1
p10,13,0.2451,clearcut,BIG,BIG,1
p10,14,0.2091,clearcut,BIG,BIG,1
p10,15,0.4643,clearcut,SMALL,SMALL,1
p10,16,0.6826,clearcut,SMALL,SMALL,1
p10,17,0.5112,clearcut,SMALL,SMALL,1
p10,18,0.5763,clearcut,SMALL,BIG,0
p10,19,0.5002,clearcut,SMALL,SMALL,1
p10,20,0.2205,clearcut,BIG,BIG,1
p11,1,0.0543,borderline,BIG,BIG,1
p11,2,0.0653,borderline,BIG,BIG,1
p11,3,0.1051,borderline,BIG,BIG,1
p11,4,0.0648,borderline,BIG,BIG,1
p11,5,0.0339,borderline,BIG,BIG,1
p11,6,0.0596,borderline,SMALL,BIG,0
p11,7,0.1096,borderline,SMALL,BIG,0
p11,8,0.0314,borderline,SMALL,BIG,0
p11,9,0.1433,borderline,SMALL,BIG,0
p11,10,0.1655,borderline,SMALL,BIG,0
p11,11,0.2329,clearcut,BIG,BIG,1
p11,12,0.2341,clearcut,BIG,BIG,1
p11,13,0.2451,clearcut,BIG,BIG,1
p11,14,0.2091,clearcut,BIG,BIG,1
p11,15,0.4643,clearcut,SMALL,SMALL,1
p11,16,0.6826,clearcut,SMALL,SMALL,1
p11,17,0.5112,clearcut,SMALL,SMALL,1
p11,18,0.5763,clearcut,SMALL,BIG,0
p11,19,0.5002,clearcut,SMALL,BIG,0
p11,20,0.2205,clearcut,BIG,BIG,1
p12,1,0.0543,borderline,BIG,BIG,1
p12,2,0.0653,borderline,BIG,BIG,1
p12,3,0.1051,borderline,BIG,BIG,1
p12,4,0.0648,borderline,BIG,BIG,1
p12,5,0.0339,borderline,BIG,BIG,1
p12,6,0.0596,borderline,SMALL,SMALL,1
p12,7,0.1096,borderline,SMALL,SMALL,1
p12,8,0.0314,borderline,SMALL,BIG,0
p12,9,0.1433,borderline,SMALL,BIG,0
p12,10,0.1655,borderline,SMALL,SMALL,1
p12,11,0.2329,clearcut,BIG,BIG,1
p12,12,0.2341,clearcut,BIG,BIG,1
p12,13,0.2451,clearcut,BIG,BIG,1
p12,14,0.2091,clearcut,BIG,BIG,1
p12,15,0.4643,clearcut,SMALL,SMALL,1
p12,16,0.6826,clearcut,SMALL,SMALL,1
p12,17,0.5112,clearcut,SMALL,SMALL,1
p12,18,0.5763,clearcut,SMALL,SMALL,1
